Frequency (Hz)	Level (dB)
806.822205	-89.030457
807.495117	-90.622246
808.168030	-100.483124
808.840942	-95.383148
809.513855	-83.903374
810.186768	-82.556168
810.859680	-82.276627
811.532593	-88.912155
812.205505	-84.154945
812.878418	-83.763519
813.551331	-91.047310
814.224243	-83.516411
814.897156	-83.282310
815.570068	-86.844002
816.242981	-83.795311
816.915894	-82.047974
817.588806	-91.834671
818.261719	-89.357536
818.934631	-80.526367
819.607544	-75.585381
820.280457	-81.792404
820.953369	-86.448967
821.626282	-82.182770
822.299194	-83.479881
822.972107	-79.288673
823.645020	-79.685913
824.317932	-86.695969
824.990845	-84.928467
825.663757	-90.233330
826.336670	-75.550117
827.009583	-78.594238
827.682495	-80.598335
828.355408	-84.933601
829.028320	-89.878654
829.701233	-88.311302
830.374146	-78.769974
831.047058	-76.419167
831.719971	-78.362450
832.392883	-84.869629
833.065796	-84.242149
833.738708	-79.708336
834.411621	-78.715500
835.084534	-74.936790
835.757446	-74.132172
836.430359	-75.827339
837.103271	-80.861809
837.776184	-83.493202
838.449097	-83.632904
839.122009	-84.742271
839.794922	-83.765915
840.467834	-80.660141
841.140747	-82.734177
841.813660	-77.101105
842.486572	-75.361855
843.159485	-80.669708
843.832397	-77.917625
844.505310	-77.868958
845.178223	-74.586838
845.851135	-74.049141
846.524048	-71.505493
847.196960	-80.711891
847.869873	-83.918655
848.542786	-81.863075
849.215698	-85.877380
849.888611	-85.712601
850.561523	-72.351265
